equipmentnumber,type,description,geocoordX,geocoordY,state,stateExplanation,stationnumber,datetime
10027870,ELEVATOR,Nicht Reisendenrelevant,10.00824,53.55248,ACTIVE,available,2514,2019-07-07T15:13:10Z
10313095,ESCALATOR,von EG zu UG,8.6645888,50.1072629,ACTIVE,available,1866,2019-07-07T15:13:10Z
10213787,ELEVATOR,zu Gleis 1,10.94805927,50.84196822,ACTIVE,available,180,2019-07-07T15:13:10Z
10313096,ESCALATOR,von EG zu UG,8.6645159,50.1073417,ACTIVE,available,1866,2019-07-07T15:13:10Z
10478798,ELEVATOR,zu Gleis 2 (S-Bahn),11.5334729,48.0955725,ACTIVE,available,4244,2019-07-07T15:13:10Z
10213788,ELEVATOR,zu Gleis 2/3,10.94825656,50.84207427,ACTIVE,available,180,2019-07-07T15:13:10Z
10447699,ELEVATOR,zu Gleis 2/3,9.8075451,52.3743917,ACTIVE,available,7181,2019-07-07T15:13:10Z
10447698,ELEVATOR,zu Gleis 1/2,9.6390187,52.3940446,ACTIVE,available,3674,2019-07-07T15:13:10Z
10270380,ESCALATOR,zum Ausgang,7.11972,50.87779,ACTIVE,available,4762,2019-07-07T15:13:10Z
10447697,ELEVATOR,zu Gleis 1/2,9.6919956,52.4096005,ACTIVE,available,7183,2019-07-07T15:13:10Z
10270376,ESCALATOR,zu Gleis 1/2,7.11971,50.87955,ACTIVE,available,4762,2019-07-07T15:13:10Z
10270377,ESCALATOR,zu Gleis 1/2,7.11971,50.87955,ACTIVE,available,4762,2019-07-07T15:13:10Z
10224437,ELEVATOR,zu Gleis 2/3,10.4745411,51.20896697,UNKNOWN,monitoring disrupted,4207,2019-07-07T15:13:10Z
10270370,ESCALATOR,zu Gleis 3/4,7.11948,50.87957,ACTIVE,available,4762,2019-07-07T15:13:10Z
10270372,ESCALATOR,zu Gleis 3/4,7.11881,50.87828,ACTIVE,available,4762,2019-07-07T15:13:10Z
10270373,ESCALATOR,zu Gleis 3/4,7.11881,50.87828,ACTIVE,available,4762,2019-07-07T15:13:10Z
10248473,ELEVATOR,zu Gleis 2/3,12.5476968,50.8284649,ACTIVE,available,2142,2019-07-07T15:13:10Z
10455221,ELEVATOR,zu Gleis 1/13,9.0553039,48.5158556,ACTIVE,available,6279,2019-07-07T15:13:10Z
10455222,ELEVATOR,zu Gleis 2/3/9/12,9.0553612,48.5156827,ACTIVE,available,6279,2019-07-07T15:13:10Z
10296987,ELEVATOR,zu Gleis 1/2,11.69904779,48.11830219,ACTIVE,available,2290,2019-07-07T15:13:10Z
10270378,ESCALATOR,zu Gleis 1/2,7.11906,50.87823,ACTIVE,available,4762,2019-07-07T15:13:10Z
10554988,ELEVATOR,zu Gleis 7/8 Abschnitt A,8.4684165,49.479466,ACTIVE,available,3925,2019-07-07T15:13:10Z
10554989,ELEVATOR,zu Gleis 9/10 Abschnitt A,8.4682799,49.479356,ACTIVE,available,3925,2019-07-07T15:13:10Z
10270379,ESCALATOR,zu Gleis 1/2,7.11906,50.87823,ACTIVE,available,4762,2019-07-07T15:13:10Z
10256020,ELEVATOR,zu Gleis 2,7.0726917,51.2683718,ACTIVE,available,5004,2019-07-07T15:13:10Z
10489483,ELEVATOR,zu Gleis 2,10.1237847,51.3768757,ACTIVE,available,2654,2019-07-07T15:13:10Z
10038544,ELEVATOR,zu Gleis 1/2 (S-Bahn),6.96349,51.06423,ACTIVE,available,3693,2019-07-07T15:13:10Z
10038541,ELEVATOR,zu Gleis 1/2 (S-Bahn),6.9878299,51.0464997,ACTIVE,available,3692,2019-07-07T15:13:10Z
10489484,ELEVATOR,zu Gleis 1/3,10.1236667,51.3769795,ACTIVE,available,2654,2019-07-07T15:13:10Z
10118269,ESCALATOR,zu Gleis 1/2 (S-Bahn),13.38815055,52.5319524,ACTIVE,available,532,2019-07-07T15:13:10Z
10256018,ELEVATOR,zu Gleis 1,7.0723619,51.2684742,ACTIVE,available,5004,2019-07-07T15:13:10Z
10502098,ELEVATOR,,,,ACTIVE,available,2950,2019-07-07T15:13:10Z
10502099,ELEVATOR,,,,ACTIVE,available,2950,2019-07-07T15:13:10Z
10304169,ELEVATOR,zu Gleis 1/2 (S-Bahn),11.6468213,48.1901417,ACTIVE,available,6346,2019-07-07T15:13:10Z
10490453,ESCALATOR,zu Gleis 1/2 (S-Bahn),9.1718913,48.77535535,ACTIVE,available,6085,2019-07-07T15:13:10Z
10490452,ESCALATOR,zu Gleis 1/2 (S-Bahn),9.1719345,48.77533295,ACTIVE,available,6085,2019-07-07T15:13:10Z
10038566,ELEVATOR,zu Gleis 1/2,11.0592875,50.14624,ACTIVE,available,3700,2019-07-07T15:13:10Z
10283622,ELEVATOR,zu Gleis 1/2,7.904641836,49.44420907,ACTIVE,available,2805,2019-07-07T15:13:10Z
10283623,ELEVATOR,zu Gleis 3/4,7.9046678,49.4440652,ACTIVE,available,2805,2019-07-07T15:13:10Z
10438709,ESCALATOR,zu Gleis 11/12 (S-Bahn),13.37659395,52.5104348,ACTIVE,available,5016,2019-07-07T15:13:10Z
10257380,ELEVATOR,zu Gleis 2,9.1343793,49.3470482,ACTIVE,available,8052,2019-07-07T15:13:10Z
10038570,ELEVATOR,zu Gleis 3/5,11.059124,50.146364,ACTIVE,available,3700,2019-07-07T15:13:10Z
10249757,ESCALATOR,v. Bstg. zu Schalterhalle West,9.9558518,53.54971145,ACTIVE,available,5167,2019-07-07T15:13:10Z
10092034,ELEVATOR,zu Gleis 101 Abschnitt C,10.553643,52.97005786,UNKNOWN,monitoring not available,6310,2019-07-07T15:13:10Z
10059497,ELEVATOR,von EG zu OG,11.8548,52.595038,ACTIVE,available,6010,2019-07-07T15:13:10Z
10330450,ELEVATOR,zu Gleis 4/5,8.5897284,49.1246782,ACTIVE,available,904,2019-07-07T15:13:10Z
10330442,ELEVATOR,zu Gleis 2/3,10.64127891,51.10149173,ACTIVE,available,298,2019-07-07T15:13:10Z
10038569,ELEVATOR,zu Gleis 6/7,11.0589543,50.1464904,ACTIVE,available,3700,2019-07-07T15:13:10Z
10292586,ELEVATOR,zu Gleis 1/2,7.057715923,50.89512572,ACTIVE,available,2090,2019-07-07T15:13:10Z
10292588,ELEVATOR,zu Gleis 1/2,7.057897812,50.89482966,ACTIVE,available,2090,2019-07-07T15:13:10Z
10453526,ELEVATOR,zu Gleis 2/3,12.443808,50.9972694,ACTIVE,available,89,2019-07-07T15:13:10Z
10441530,ESCALATOR,zu Gleis 3/4,9.74130825,52.3769609,ACTIVE,available,2545,2019-07-07T15:13:10Z
10441531,ESCALATOR,zu Gleis 3/4,9.7417088,52.37673225,ACTIVE,available,2545,2019-07-07T15:13:10Z
10441532,ESCALATOR,zu Gleis 7/8,9.7419519,52.3769275,ACTIVE,available,2545,2019-07-07T15:13:10Z
10441533,ESCALATOR,zu Gleis 13/14 (S-Bahn),9.74255025,52.3774103,ACTIVE,available,2545,2019-07-07T15:13:10Z
10197053,ELEVATOR,zu Gleis 2,8.6688393,50.5877115,ACTIVE,available,7968,2019-07-07T15:13:10Z
10311298,ESCALATOR,zu Gleis 2,12.22377,51.42343,ACTIVE,available,8015,2019-07-07T15:13:10Z
10311297,ESCALATOR,zu Gleis 1,12.22365,51.42317,ACTIVE,available,8015,2019-07-07T15:13:10Z
10311299,ESCALATOR,zu Gleis 2,12.2238,51.42346,ACTIVE,available,8015,2019-07-07T15:13:10Z
10311296,ESCALATOR,zu Gleis 1,12.22366,51.4232,ACTIVE,available,8015,2019-07-07T15:13:10Z
10223884,ESCALATOR,von 2.UG zu 3.UG,9.99387,53.55252,ACTIVE,available,3068,2019-07-07T15:13:10Z
10088968,ELEVATOR,zu Gleis 1,10.48427865,53.14221256,ACTIVE,available,625,2019-07-07T15:13:10Z
10473150,ESCALATOR,zu Gleis 1/2 (S-Bahn),11.7642686,48.35213235,ACTIVE,available,1823,2019-07-07T15:13:10Z
10258540,ELEVATOR,zu Gleis 5/6,7.9464148,48.4757036,ACTIVE,available,4745,2019-07-07T15:13:10Z
10095231,ESCALATOR,zu Gleis 3/4,13.38635315,52.5203914,ACTIVE,available,527,2019-07-07T15:13:10Z
10223877,ESCALATOR,von Gleis 1/2 (S-Bahn) zu 3.UG,9.99397,53.55234,ACTIVE,available,3068,2019-07-07T15:13:10Z
10429872,ELEVATOR,zu Gleis 4 (S-Bahn),13.4897235,52.4676829,ACTIVE,available,430,2019-07-07T15:13:10Z
10223876,ESCALATOR,von Gleis 1/2 (S-Bahn) zu 3.UG,9.99402,53.55231,ACTIVE,available,3068,2019-07-07T15:13:10Z
10095233,ESCALATOR,zu Gleis 3/4,13.3874629,52.52016875,ACTIVE,available,527,2019-07-07T15:13:10Z
10095232,ESCALATOR,zu Gleis 3/4,13.3863654,52.52040755,ACTIVE,available,527,2019-07-07T15:13:10Z
10448156,ELEVATOR,zu Gleis 1/2 (S-Bahn),10.0683945,53.6356639,ACTIVE,available,2843,2019-07-07T15:13:10Z
10095234,ESCALATOR,zu Gleis 3/4,13.38747075,52.5201856,ACTIVE,available,527,2019-07-07T15:13:10Z
10028440,ELEVATOR,zu Gleis 1/2 (S-Bahn),8.9296658,50.1213127,ACTIVE,available,2537,2019-07-07T15:13:10Z
10222550,ESCALATOR,zu Gleis 15/16,6.79446,51.21936,ACTIVE,available,1401,2019-07-07T15:13:10Z
10258538,ELEVATOR,zu Gleis 3/4,7.9461502,48.475769,ACTIVE,available,4745,2019-07-07T15:13:10Z
10258552,ELEVATOR,zu Gleis 1,12.2236229,51.4231807,ACTIVE,available,8015,2019-07-07T15:13:10Z
10534644,ELEVATOR,zu Gleis 103/104,7.0760577,51.450413,ACTIVE,available,1710,2019-07-07T15:13:10Z
10258555,ELEVATOR,zu Gleis 2,12.2237195,51.4234836,ACTIVE,available,8015,2019-07-07T15:13:10Z
10454887,ELEVATOR,zu Gleis 14/17,7.6362526,51.9564281,ACTIVE,available,4280,2019-07-07T15:13:10Z
10359210,ELEVATOR,zu Gleis 1/2,6.8878616,50.8377376,ACTIVE,available,3175,2019-07-07T15:13:10Z
10461181,ELEVATOR,zu Gleis 1,7.3140014,50.7730013,ACTIVE,available,2166,2019-07-07T15:13:10Z
10461182,ELEVATOR,zu Gleis 2,7.314019,50.7731139,INACTIVE,not available,2166,2019-07-07T15:13:10Z
10359213,ELEVATOR,von EG zu Tunnel,6.8879807,50.8376903,ACTIVE,available,3175,2019-07-07T15:13:10Z
10223872,ESCALATOR,von 3.UG zu 4.UG,9.99502655,53.55299585,ACTIVE,available,3068,2019-07-07T15:13:10Z
10251910,ELEVATOR,zu Gleis 1,8.67531326,49.37869225,ACTIVE,available,2630,2019-07-07T15:13:10Z
10029785,ELEVATOR,zu Gleis 2/3,8.8625145,48.5939172,ACTIVE,available,2726,2019-07-07T15:13:10Z
10029786,ELEVATOR,zu Gleis 4,8.8624116,48.5940481,ACTIVE,available,2726,2019-07-07T15:13:10Z
10212328,ESCALATOR,zu Gleis 13/14 (S-Bahn),6.7944,51.21959,INACTIVE,not available,1401,2019-07-07T15:13:10Z
10212329,ESCALATOR,zu Gleis 11/12 (S-Bahn),6.79418,51.21969,ACTIVE,available,1401,2019-07-07T15:13:10Z
